Date Time,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),rain (mm),raining (s),SWDR (W/m²),PAR (µmol/m²/s),max. PAR (µmol/m²/s),Tlog (degC),CO2 (ppm)
09.06.2024 11:40:00,982.81,18.76,293.36,8.85,52.48,21.68,11.38,10.3,7.23,11.58,1167.74,1.87,3.54,350.5,0,0,865.92,1686.33,2137.87,32.19,419.2
09.06.2024 11:50:00,982.68,18.96,293.57,8.81,51.67,21.95,11.34,10.61,7.21,11.54,1166.8,1.77,4.08,320.5,0,0,560.52,1118.12,2217.4,32.33,418.5
09.06.2024 12:00:00,982.61,19.14,293.76,8.83,51.17,22.2,11.36,10.84,7.22,11.56,1165.99,2.14,4.39,246.8,0,0,938.87,1823.9,2144.7,32.4,418.2
09.06.2024 12:10:00,982.51,19.53,294.16,9.24,51.36,22.75,11.68,11.06,7.43,11.89,1164.17,1.96,3.95,311.9,0,0,824.84,1593.47,2094.13,32.48,418.1
09.06.2024 12:20:00,982.43,19.06,293.7,9.01,52.07,22.09,11.5,10.59,7.32,11.71,1166.03,1.72,5.02,343.7,0,0,485.78,976.2,2285.02,32.6,418.3
09.06.2024 12:30:00,982.36,18.81,293.45,8.77,52.01,21.75,11.31,10.44,7.19,11.51,1167.03,1.81,4.27,314.5,0,0,732.08,1453.23,2161.92,32.65,418.2
09.06.2024 12:40:00,982.25,19.22,293.87,9.12,51.93,22.31,11.59,10.73,7.37,11.8,1165.14,2.54,4.84,289.2,0,0,941.96,1857.87,1961.06,32.56,417.8
09.06.2024 12:50:00,982.09,19.5,294.17,9.27,51.55,22.7,11.7,11,7.45,11.92,1163.78,2.68,4.85,303.4,0,0,951.82,1858.26,2004.82,32.46,417.5
09.06.2024 13:00:00,981.96,20.17,294.85,9.39,49.84,23.67,11.8,11.87,7.51,12.01,1160.93,1.71,4.57,350.6,0,0,911.81,1796.46,2138.5,32.41,417.3
09.06.2024 13:10:00,981.95,20.02,294.7,8.96,48.87,23.45,11.46,11.99,7.29,11.67,1161.66,2.47,4.41,318.8,0,0,750.56,1475.86,2088.57,32.51,417.6
09.06.2024 13:20:00,981.88,19.94,294.63,8.95,49.1,23.33,11.46,11.88,7.29,11.67,1161.89,1.3,2.61,307.7,0,0,686.3,1344.75,2079.24,32.63,417.5
09.06.2024 13:30:00,981.76,19.96,294.66,9.09,49.49,23.36,11.56,11.8,7.36,11.78,1161.62,0.85,1.8,263.6,0,0,469.24,945.13,2212.59,32.75,417.4
09.06.2024 13:40:00,981.62,20,294.71,9.19,49.72,23.42,11.64,11.78,7.41,11.86,1161.26,1.35,2.21,284.9,0,0,595.71,1178.41,2142.09,32.85,416.6
09.06.2024 13:50:00,981.41,19.73,294.46,8.72,48.95,23.03,11.27,11.76,7.18,11.49,1162.25,3.73,10.97,38.96,0,0,621.29,1235.28,2073.63,32.9,417.6
09.06.2024 14:00:00,981.4,19.82,294.55,9,49.61,23.16,11.49,11.67,7.31,11.71,1161.78,1.46,3.37,325,0,0,518.11,1031.57,1962.9,32.83,416.8
09.06.2024 14:10:00,981.28,20.29,295.03,9.02,48.27,23.84,11.51,12.33,7.33,11.73,1159.77,2.09,4.38,315.8,0,0,847.37,1642.34,2045.13,32.7,417
09.06.2024 14:20:00,981.21,20.72,295.47,9.14,47.38,24.48,11.6,12.88,7.39,11.82,1157.95,1.33,3.08,239.6,0,0,745.41,1459.9,1922.88,32.69,416.9
09.06.2024 14:30:00,981.15,20.66,295.41,9.08,47.38,24.39,11.56,12.84,7.36,11.78,1158.14,2.18,3.66,312.7,0,0,476.37,953.53,1782.34,32.81,416.8
09.06.2024 14:40:00,981.11,20.37,295.13,8.91,47.66,23.96,11.42,12.54,7.27,11.64,1159.29,1.75,3.75,6.08,0,0,733.6,1440.04,1728.64,32.91,417
09.06.2024 14:50:00,980.97,20.51,295.28,9.08,47.8,24.17,11.55,12.62,7.36,11.78,1158.52,2.39,4.49,18.79,0,0,625.28,1240.32,1738.56,32.94,416.7
09.06.2024 15:00:00,980.94,20.64,295.41,9.03,47.27,24.36,11.52,12.85,7.34,11.74,1157.98,2.44,5.88,303.8,0,0,793.15,1545.08,1650.56,32.96,416.7
09.06.2024 15:10:00,980.92,20.88,295.65,8.96,46.37,24.73,11.47,13.26,7.3,11.69,1157.04,1.71,4.08,324.2,0,0,735.03,1432.6,1541.89,33,416.8
09.06.2024 15:20:00,980.8,21.17,295.96,9.24,46.41,25.17,11.68,13.49,7.44,11.91,1155.66,2.1,4.52,335.9,0,0,702.99,1372.78,1467.99,33.09,416.2
09.06.2024 15:30:00,980.72,21.42,296.21,9.17,45.47,25.56,11.62,13.94,7.4,11.85,1154.61,2,4.18,290.9,0,0,673.96,1315.73,1413.66,33.2,416.2
09.06.2024 15:40:00,980.65,21.22,296.02,8.86,45.09,25.25,11.38,13.86,7.25,11.61,1155.42,1.95,4.58,10.99,0,0,639.61,1246.99,1341.66,33.33,416.4
09.06.2024 15:50:00,980.54,21.3,296.11,9,45.31,25.37,11.5,13.88,7.33,11.72,1154.92,2.53,6.79,9.66,0,0,621.48,1212.56,1376.46,33.43,416.1
09.06.2024 16:00:00,980.46,21.4,296.22,8.98,44.97,25.53,11.48,14.05,7.32,11.71,1154.44,1.97,4.86,303.8,0,0,628.47,1224.14,1269.67,33.47,416
09.06.2024 16:10:00,980.36,21.63,296.46,8.96,44.27,25.89,11.46,14.43,7.3,11.69,1153.43,1.92,4.12,342.1,0,0,499.75,984.71,1227.5,33.5,416
09.06.2024 16:20:00,980.24,21.36,296.2,8.73,44.3,25.47,11.28,14.18,7.19,11.51,1154.43,2.14,4.43,20.71,0,0,554.72,1077.54,1200.4,33.57,416.2
09.06.2024 16:30:00,980.2,21.27,296.11,8.75,44.61,25.33,11.3,14.03,7.2,11.53,1154.73,2.84,5.69,359.8,0,0,530.84,1027.01,1175.18,33.6,415.9
09.06.2024 16:40:00,980.19,21.41,296.25,8.68,44.04,25.54,11.25,14.29,7.17,11.48,1154.19,1.37,3.63,281,0,0,506.17,982.66,1080.45,33.57,416
09.06.2024 16:50:00,980.16,21.73,296.57,8.74,43.34,26.05,11.29,14.76,7.2,11.52,1152.88,1.35,3.69,323,0,0,445.63,864.51,1015.79,33.58,415.7
09.06.2024 17:00:00,980.11,21.7,296.55,8.69,43.28,26,11.25,14.75,7.17,11.48,1152.96,1.5,3.82,31.85,0,0,390,759.55,967.1,33.66,415.5
09.06.2024 17:10:00,980.07,21.58,296.43,8.68,43.57,25.81,11.25,14.57,7.17,11.47,1153.38,1.37,3.38,48.81,0,0,368.12,718.87,811.11,33.73,415
09.06.2024 17:20:00,980,21.46,296.32,8.45,43.21,25.62,11.07,14.55,7.06,11.3,1153.85,1.3,3.13,34.06,0,0,340.94,662.11,838.77,33.76,415.3
09.06.2024 17:30:00,979.98,21.48,296.34,8.62,43.67,25.65,11.2,14.45,7.14,11.43,1153.69,1.66,3.72,309.3,0,0,285.65,558.4,770.23,33.72,414.9
09.06.2024 17:40:00,979.95,20.94,295.8,8.09,43.54,24.82,10.81,14.01,6.89,11.03,1155.95,1.6,4.16,29.18,0,0,296.03,572.35,695.77,33.65,414.9
09.06.2024 17:50:00,979.9,20.86,295.72,8.05,43.64,24.7,10.78,13.92,6.87,11,1156.22,1.93,4.48,8.53,0,0,291.41,562.93,669.1,33.48,414.6
09.06.2024 18:00:00,979.89,20.77,295.63,8,43.73,24.56,10.74,13.82,6.85,10.96,1156.58,1.36,3.09,26.94,0,0,239.33,468.39,591.42,33.26,414.7
09.06.2024 18:10:00,979.9,20.71,295.57,7.87,43.5,24.47,10.64,13.83,6.78,10.86,1156.87,1.37,3.64,4.65,0,0,226.13,440.4,518.77,33.06,414.7
09.06.2024 18:20:00,979.98,20.66,295.51,7.56,42.73,24.39,10.42,13.97,6.64,10.64,1157.26,1.2,3.75,19.94,0,0,259.25,486.32,538.64,32.86,414.9
09.06.2024 18:30:00,980.02,20.85,295.7,7.49,42.01,24.68,10.37,14.31,6.61,10.58,1156.58,1.23,3.25,350.6,0,0,248.45,466.75,506.75,32.7,414.8
09.06.2024 18:40:00,980.03,20.95,295.8,7.34,41.34,24.83,10.27,14.57,6.54,10.48,1156.25,1.09,2.75,45.79,0,0,199.19,380.42,446.44,32.59,414.9
09.06.2024 18:50:00,980.08,20.92,295.77,7.11,40.76,24.79,10.1,14.68,6.44,10.31,1156.5,0.99,2.95,17.68,0,0,176.3,334.14,362.04,32.55,415.2
09.06.2024 19:00:00,980.11,20.42,295.26,6.79,41.11,24.04,9.88,14.15,6.29,10.08,1158.6,1.41,2.65,27.99,0,0,102.64,210.05,315.88,32.47,415.2
09.06.2024 19:10:00,980.14,19.67,294.5,6.66,42.7,22.95,9.8,13.15,6.24,10,1161.64,0.62,2.14,70.57,0,0,39.71,111.05,114.42,32.21,415.9
09.06.2024 19:20:00,980.22,19.13,293.95,6.68,44.21,22.19,9.81,12.38,6.25,10.01,1163.88,0.62,1.64,351.7,0,0,44,115.11,117.87,31.82,416.5
09.06.2024 19:30:00,980.22,18.84,293.66,6.31,43.89,21.79,9.56,12.23,6.09,9.76,1165.14,0.56,1.27,125.3,0,0,43.47,108.91,114.99,31.37,416.3
09.06.2024 19:40:00,980.3,18.61,293.43,5.95,43.42,21.48,9.33,12.15,5.94,9.51,1166.27,0.61,1.28,262.9,0,0,42.14,101.27,105.21,30.92,416.1
09.06.2024 19:50:00,980.36,18.38,293.19,5.73,43.39,21.17,9.19,11.99,5.85,9.37,1167.32,0.75,1.26,232.6,0,0,40.09,91.51,96.97,30.49,415.7
09.06.2024 20:00:00,980.39,18.19,292.99,5.81,44.16,20.92,9.24,11.68,5.88,9.42,1168.09,0.47,0.95,211.3,0,0,29.25,67.75,81.83,30.08,416.8
09.06.2024 20:10:00,980.43,17.99,292.79,5.57,43.98,20.66,9.09,11.57,5.78,9.27,1169.01,0.33,0.76,260.6,0,0,15.65,40.8,51.53,29.69,416.4
09.06.2024 20:20:00,980.45,17.8,292.6,5.48,44.21,20.41,9.02,11.39,5.75,9.2,1169.83,0.61,1.29,326.2,0,0,8.78,24.52,31.16,29.31,416.9
09.06.2024 20:30:00,980.45,17.61,292.41,5.24,44,20.17,8.87,11.3,5.65,9.05,1170.66,0.62,1.4,320.5,0,0,2.18,11.89,17.18,28.94,416.9
09.06.2024 20:40:00,980.54,17.34,292.13,5.33,45.04,19.83,8.93,10.9,5.68,9.11,1171.83,1.39,2.19,321.3,0,0,0,4.83,7.57,28.57,418
09.06.2024 20:50:00,980.62,17.12,291.9,5.47,46.14,19.56,9.02,10.53,5.74,9.2,1172.77,1.57,2.77,329.4,0,0,0,1.56,2.57,28.17,417.5
09.06.2024 21:00:00,980.67,16.9,291.67,5.49,46.84,19.28,9.03,10.25,5.75,9.21,1173.72,0.74,1.73,237.5,0,0,0,0,0,27.75,418.2
09.06.2024 21:10:00,980.8,16.52,291.28,5.6,48.35,18.82,9.1,9.72,5.79,9.28,1175.38,0.6,1.56,167.8,0,0,0,0,0,27.35,420.2
09.06.2024 21:20:00,980.92,16.1,290.85,5.79,50.33,18.33,9.22,9.1,5.87,9.4,1177.18,0.65,1.27,182,0,0,0,0,0,26.99,422.6
09.06.2024 21:30:00,980.94,15.91,290.66,5.62,50.34,18.11,9.11,8.99,5.8,9.29,1178.03,0.5,1.1,56.71,0,0,0,0,0,26.64,421.2
09.06.2024 21:40:00,980.97,16.23,290.97,5.38,48.52,18.48,8.97,9.51,5.7,9.14,1176.83,1.27,1.93,342.2,0,0,0,0,0,26.33,418.3
